cycSecs,cycMps,cycGrade,cycRoadType
158,1.641666666666666,0.005419019641099,No Charging
159,1.641666666666666,0.005419019641099,No Charging
160,1.641666666666666,0.005419019641099,No Charging
161,1.641666666666666,0.005419019641099,No Charging
162,1.641666666666666,0.005419019641099,No Charging
163,1.641666666666666,0.005419019641099,No Charging
164,1.641666666666666,0.005419019641099,No Charging
165,1.641666666666666,0.005419019641099,No Charging
166,1.641666666666666,0.005419019641099,No Charging
167,1.641666666666666,0.005419019641099,No Charging
168,1.641666666666666,0.005419019641099,No Charging
169,1.641666666666666,0.005419019641099,No Charging
170,1.641666666666666,0.005419019641099,No Charging
171,1.641666666666666,0.005419019641099,No Charging
172,1.641666666666666,0.005419019641099,No Charging
173,1.641666666666666,0.005419019641099,No Charging
174,1.641666666666666,0.005419019641099,No Charging
175,1.641666666666666,0.005419019641099,No Charging
176,1.641666666666666,0.005419019641099,No Charging
177,1.641666666666666,0.005419019641099,No Charging
178,1.641666666666666,0.005419019641099,No Charging
179,1.641666666666666,0.005419019641099,No Charging
180,1.641666666666666,0.005419019641099,No Charging
181,1.641666666666666,0.005419019641099,No Charging
182,1.641666666666666,0.005419019641099,No Charging
183,1.641666666666666,0.005419019641099,No Charging
184,1.641666666666666,0.005419019641099,No Charging
185,1.641666666666666,0.005419019641099,No Charging
186,1.641666666666666,0.005419019641099,No Charging
187,1.641666666666666,0.005419019641099,No Charging
188,1.641666666666666,0.005419019641099,No Charging
189,1.641666666666666,0.005419019641099,No Charging
190,1.641666666666666,0.005419019641099,No Charging
191,1.641666666666666,0.005419019641099,No Charging
192,1.641666666666666,0.005419019641099,No Charging
193,1.641666666666666,0.005419019641099,No Charging
194,1.641666666666666,0.005419019641099,No Charging
195,1.641666666666666,0.005419019641099,No Charging
196,1.641666666666666,0.005419019641099,No Charging
197,1.641666666666666,0.005419019641099,No Charging
198,1.641666666666666,0.005419019641099,No Charging
199,1.641666666666666,0.005419019641099,No Charging
200,1.641666666666666,0.005419019641099,No Charging
201,1.641666666666666,0.005419019641099,No Charging
202,1.641666666666666,0.005419019641099,No Charging
